Accession Number,Date Received,ISBN,Author,Title of Book,Edition,Volume,Pages,Publisher,Place of Publication,Year,Program,Location,Call number from Sophia
63,08/22/17,9780789751980,"Perry, Greg & Miller, Dean",C Programming Absolute Beginner's Guide,3rd,,312,"Pearson Education, Inc.",United States,2014,BSCS,Circulation,QA 76.73 C15 P 47 2014 c1
64,08/22/17,9780789751980,"Perry, Greg & Miller, Dean",C Programming Absolute Beginner's Guide,3rd,,312,"Pearson Education, Inc.",United States,2014,BSCS,Circulation,QA 76.73 C15 P 47 2014 c2
65,08/22/17,9780789751980,"Perry, Greg & Miller, Dean",C Programming Absolute Beginner's Guide,3rd,,312,"Pearson Education, Inc.",United States,2014,BSCS,Circulation,QA 76.73 C15 P 47 2014 c3
66,08/22/17,9780789751980,"Perry, Greg & Miller, Dean",C Programming Absolute Beginner's Guide,3rd,,312,"Pearson Education, Inc.",United States,2014,BSCS,Circulation,QA 76.73 C15 P 47 2014 c4
67,08/22/17,9781514815830,"Penn, Anthony",Business Software Development: Principles and Practice,1st,,136,CreateSpace,United States,2016,BSCS,Circulation,QA 76.76 P41 2016 c1
68,08/22/17,9781514815830,"Penn, Anthony",Business Software Development: Principles and Practice,1st,,136,CreateSpace,United States,2016,BSCS,Circulation,QA 76.76 P41 2016 c2
69,08/22/17,9781514815830,"Penn, Anthony",Business Software Development: Principles and Practice,1st,,136,CreateSpace,United States,2016,BSCS,Circulation,QA 76.76 P41 2016 c3
70,08/22/17,9781514815830,"Penn, Anthony",Business Software Development: Principles and Practice,1st,,136,CreateSpace,United States,2016,BSCS,Circulation,QA 76.76 P41 2016 c4
71,08/22/17,9781514815830,"Penn, Anthony",Business Software Development: Principles and Practice,1st,,136,CreateSpace,United States,2016,BSCS,Circulation,QA 76.76 P41 2016 c5
72,08/22/17,9781514815830,"Penn, Anthony",Business Software Development: Principles and Practice,1st,,136,CreateSpace,United States,2016,BSCS,Circulation,QA 76.76 P41 2016 c6
73,08/22/17,9781514815830,"Penn, Anthony",Business Software Development: Principles and Practice,1st,,136,CreateSpace,United States,2016,BSCS,Circulation,QA 76.76 P41 2016 c7
74,08/22/17,9781514815830,"Penn, Anthony",Business Software Development: Principles and Practice,1st,,136,CreateSpace,United States,2016,BSCS,Circulation,QA 76.76 P41 2016 c8
75,08/22/17,9780132943260,"Connolly, Thomas & Begg, Carolyn","Database Systems: A Practical Approach to Design, Implementation, and Management",6th,,1280,Addison-Wesley,United States,2015,BSCS,Circulation,QA 76.9 D26 C66 2015 c1
76,08/22/17,9780132943260,"Connolly, Thomas & Begg, Carolyn","Database Systems: A Practical Approach to Design, Implementation, and Management",6th,,1280,Addison-Wesley,United States,2015,BSCS,Circulation,QA 76.9 D26 C66 2015 c2
77,08/22/17,9780132943260,"Connolly, Thomas & Begg, Carolyn","Database Systems: A Practical Approach to Design, Implementation, and Management",6th,,1280,Addison-Wesley,United States,2015,BSCS,Circulation,QA 76.9 D26 C66 2015 c3
78,08/22/17,9780132943260,"Connolly, Thomas & Begg, Carolyn","Database Systems: A Practical Approach to Design, Implementation, and Management",6th,,1280,Addison-Wesley,United States,2015,BSCS,Circulation,QA 76.9 D26 C66 2015 c4
79,08/22/17,9781118739495,"Baesens, Bart et al.",Beginning Java Programming: The Object-Oriented Approach,,,618,"John Wiley & Sons, Inc.",United States,2015,BSCS,Circulation,QA 76.73 J38 B14 2015 c1
80,08/22/17,9781118739495,"Baesens, Bart et al.",Beginning Java Programming: The Object-Oriented Approach,,,618,"John Wiley & Sons, Inc.",United States,2015,BSCS,Circulation,QA 76.73 J38 B14 2015 c2
81,08/22/17,9781118739495,"Baesens, Bart et al.",Beginning Java Programming: The Object-Oriented Approach,,,618,"John Wiley & Sons, Inc.",United States,2015,BSCS,Circulation,QA 76.73 J38 B14 2015 c3
82,08/22/17,9781118739495,"Baesens, Bart et al.",Beginning Java Programming: The Object-Oriented Approach,,,618,"John Wiley & Sons, Inc.",United States,2015,BSCS,Circulation,QA 76.73 J38 B14 2015 c4
83,08/22/17,9780321928832,"Castro, Elizabeth & Hyslop, Bruce",HTML and CSS,8th,,518,Peachpit Press,United States,2014,BSCS,Circulation,QA 76.76 D83 2011 c1
84,08/22/17,9780321928832,"Castro, Elizabeth & Hyslop, Bruce",HTML and CSS,8th,,518,Peachpit Press,United States,2014,BSCS,Circulation,QA 76.76 D83 2011 c2
85,08/22/17,9780321928832,"Castro, Elizabeth & Hyslop, Bruce",HTML and CSS,8th,,518,Peachpit Press,United States,2014,BSCS,Circulation,QA 76.76 D83 2011 c3
86,08/22/17,9780321928832,"Castro, Elizabeth & Hyslop, Bruce",HTML and CSS,8th,,518,Peachpit Press,United States,2014,BSCS,Circulation,QA 76.76 D83 2011 c4
87,08/22/17,9780321928832,"Castro, Elizabeth & Hyslop, Bruce",HTML and CSS,8th,,518,Peachpit Press,United States,2014,BSCS,Circulation,QA 76.76 D83 2011 c5
88,08/22/17,9789332518674,"Molina, Hector et al.",Database Systems: The Complete Book,2nd,,1119,Pearson India Education Services Pvt. Ltd.,India,2016,BSCS,Circulation,QA 76.9 D3G36 2014 c1
89,08/22/17,9789332518674,"Molina, Hector et al.",Database Systems: The Complete Book,2nd,,1119,Pearson India Education Services Pvt. Ltd.,India,2016,BSCS,Circulation,QA 76.9 D3G36 2014
90,08/22/17,9789332518674,"Molina, Hector et al.",Database Systems: The Complete Book,2nd,,1119,Pearson India Education Services Pvt. Ltd.,India,2016,BSCS,Circulation,QA 76.9 D3G36 2014 c3
91,08/22/17,9789332518674,"Molina, Hector et al.",Database Systems: The Complete Book,2nd,,1119,Pearson India Education Services Pvt. Ltd.,India,2016,BSCS,Circulation,CIR QA 76.9 D3G36 2014 c4
92,08/22/17,9780132129480,"Main, Michael & Savitch, Walter",Data Structures & Other Objects using C++,4th,,780,Addison-Wesley,United States,2011,BSCS,Circulation,QA 76.73 C153 M25 2011 c1
93,08/22/17,9780132129480,"Main, Michael & Savitch, Walter",Data Structures & Other Objects using C++,4th,,780,Addison-Wesley,United States,2011,BSCS,Circulation,QA 76.73 C153 M25 2011 c2
94,08/22/17,9780321776419,"Kochan, Stephen",Programming in C,4th,,426,"Pearson Education, Inc.",United States,2015,BSCS,Circulation,QA 76.73 C15 P47 2014 c1
95,08/22/17,9780321776419,"Kochan, Stephen",Programming in C,4th,,426,"Pearson Education, Inc.",United States,2015,BSCS,Circulation,QA 76.73 C15 P47 2014 c2
96,08/22/17,9780321776419,"Kochan, Stephen",Programming in C,4th,,426,"Pearson Education, Inc.",United States,2015,BSCS,Circulation,QA 76.73 C15 P47 2014 c3
97,08/22/17,9780321776419,"Kochan, Stephen",Programming in C,4th,,426,"Pearson Education, Inc.",United States,2015,BSCS,Circulation,QA 76.73 C15 P47 2014 c4
98,08/22/17,9781118845844,"Brath, Richard & Jonker, David",Graph Analysis and Visualization: Discovering Business Opportunity in Linked Data,,,496,"John Wiley & Sons, Inc.",United States,2015,BSCS,Circulation,T 57.85 B73 2015 c1
99,08/22/17,9781118845844,"Brath, Richard & Jonker, David",Graph Analysis and Visualization: Discovering Business Opportunity in Linked Data,,,496,"John Wiley & Sons, Inc.",United States,2015,BSCS,Circulation,T 57.85 B73 2015 c2
100,08/22/17,9781461430872,"Fricke, Martin",Logic and the Organization of Information,,,282,Springer,New York,2012,BSCS,Circulation,Z 666.5 75 2012 c1
101,08/22/17,9781461430872,"Fricke, Martin",Logic and the Organization of Information,,,282,Springer,New York,2012,BSCS,Circulation,Z 666.5 75 2012
102,08/22/17,9781461430872,"Fricke, Martin",Logic and the Organization of Information,,,282,Springer,New York,2012,BSCS,Circulation,Z 666.5 75 2012 c3
103,08/22/17,9781461430872,"Fricke, Martin",Logic and the Organization of Information,,,282,Springer,New York,2012,BSCS,Circulation,Z 666.5 75 2012 c4
104,08/22/17,9781514668078,"Baig, Mirza Yousuf Ahmed",Build Web Applications with Java,,,338,CreateSpace Independent Publishing Platform,United States,2015,BSCS,Circulation,Q 76.73 J38 B35 2015
105,08/22/17,9780789751980,"Perry, Greg & Miller, Dean",C Programming Absolute Beginner's Guide,3rd,,312,"Pearson Education, Inc.",United States,2014,BSCS,Circulation,Q 76.73 J38 B35 2015 1
106,08/22/17,9780789751980,"Perry, Greg & Miller, Dean",C Programming Absolute Beginner's Guide,3rd,,312,"Pearson Education, Inc.",United States,2014,BSCS,Circulation,Q 76.73 J38 B35 2015 c2
107,08/22/17,9780789751980,"Perry, Greg & Miller, Dean",C Programming Absolute Beginner's Guide,3rd,,312,"Pearson Education, Inc.",United States,2014,BSCS,Circulation,Q 76.73 J38 B35 2015 c3
108,08/22/17,9780789751980,"Perry, Greg & Miller, Dean",C Programming Absolute Beginner's Guide,3rd,,312,"Pearson Education, Inc.",United States,2014,BSCS,Circulation,Q 76.73 J38 B35 2015 c4
109,08/22/17,9780071823494,"Zikooulos, Paul et al.",DB2 10.5 with BLU Acceleration,,,144,McGraw-Hill Education,United States,2014,BSCS,Circulation,QA 76.9 D3P38 2014
110,08/22/17,9789810695743,"Stein, Cliff et al.",Discrete Mathematics for Computer Scientists,1st,,447,Prentice Hall,Philippines,2012,BSCS,Filipiniana,QA 76.9 M75 S81 2012 c
111,08/22/17,9781285867397,"Smith, Jo Ann",Microsoft Visual Basic: Programs to Accompany Programming Logic and Design,8th,,182,Cengage Learning,United States,2015,BSCS,Circulation,QA 76.73.B3 S65 2015 c
112,08/22/17,9789713704153,Jemma Development Group,PHP and MYSQL,,,165,"Jemma, Inc.",Philippines,2012,BSCS,Filipiniana,QA 76.73 J49 2012
113,08/22/17,9780674018570,"Baeyer, Hans Christian von",Information: The New Language of Science,,,234,Weidenfeld & Nicolson,Great Britain,2003,BSCS,Circulation,Q 223 66 2004
114,08/22/17,9780674018570,"Baeyer, Hans Christian von",Information: The New Language of Science,,,234,Weidenfeld & Nicolson,Great Britain,2003,BSCS,Circulation,Q 223 V66 2004
115,08/22/17,9780674018570,"Baeyer, Hans Christian von",Information: The New Language of Science,,,234,Weidenfeld & Nicolson,Great Britain,2003,BSCS,Circulation,Q 223 V66 2004
116,08/22/17,9789713704009,Jemma Development Group,Animation and Multimedia,2nd,,184,"Jemma, Inc.",Philippines,2012,BSCS,Filipiniana,FIL T 385 J49 2012
117,08/22/17,9789719804352,"Delfinado, Cecil Jose",Data Structures and Algorithms (2016),,,223,"C&E Publishing, Inc.",Philippines,2016,BSCS,Filipiniana,QA 76.9D35 D45 2016
118,08/22/17,9789713704146,Jemma Development Group,"HTML, CSS & XHTML",,,183,"Jemma, Inc.",Philippines,2012,BSCS,Filipiniana,FIL TK 5105.888 J49 2012
119,08/22/17,9780691088662,"Ong, N. Phuan & Bhatt, Ravin",More is Different: Fifty Years of Condensed Matter Physics,,,342,Princeton University Press,United States,2001,BSCS,Circulation,QC 178.454 M67 2001 c1
120,08/22/17,9780691088662,"Ong, N. Phuan & Bhatt, Ravin",More is Different: Fifty Years of Condensed Matter Physics,,,342,Princeton University Press,United States,2001,BSCS,Circulation,QC 178.454 M67 2001 c2
121,08/22/17,9780195130874,"Hersh, Reuben","What is Mathematics, Really?",,,316,"Oxford University Press, Inc.",United States,1997,BSCS,Circulation,QA 8.4 H47 1999 C.1
122,08/22/17,9780195130874,"Hersh, Reuben","What is Mathematics, Really?",,,316,"Oxford University Press, Inc.",United States,1997,BSCS,Circulation,QA 8.4 H471999 c2
123,08/22/17,9780486409177,"Averbach, Bonnie & Chein, Orin",Problem Solving Through Recreational Mathematics,,,320,"Dover Publications, Inc.",United States,2000,BSCS,Circulation,QA 39.2 A89 2000 c1
124,08/22/17,9780486409177,"Averbach, Bonnie & Chein, Orin",Problem Solving Through Recreational Mathematics,,,320,"Dover Publications, Inc.",United States,2000,BSCS,Circulation,QA 39.2 A89 2000 c2
125,08/22/17,9780486409177,"Averbach, Bonnie & Chein, Orin",Problem Solving Through Recreational Mathematics,,,320,"Dover Publications, Inc.",United States,2000,BSCS,Circulation,QA 39.2 A89 2000 c3
126,08/22/17,9781466625273,"McKee, James",Applying Principles from IT Architecture to Strategic Business Planning,,,211,IGI Global,United States,2013,BSCS,Circulation,HD 30.28 M38 2013
127,08/22/17,9781466625273,"McKee, James",Applying Principles from IT Architecture to Strategic Business Planning,,,211,IGI Global,United States,2013,BSCS,Circulation,HD 30.28 M38 2013 c2
128,08/22/17,9780134058160,"Jensen, John",Introductory Digital Image Processing: A Remote Sensing Perspective,4th,,602,"Pearson Education, Inc.",United States,2016,BSCS,Circulation,G 70.4 J46 2016 c1
129,08/22/17,9780134058160,"Jensen, John",Introductory Digital Image Processing: A Remote Sensing Perspective,4th,,602,"Pearson Education, Inc.",United States,2016,BSCS,Circulation,G 70.4 J46 2016 c2
130,08/22/17,9781133936695,"Waner, Stefan & Costenoble, Steven",Applied Calculus,6th,,694,Cengage Learning,United States,2014,BSCS,Circulation,QA 903 W24 2014
131,08/22/17,9780132737968,"Floyd, Thomas",Digital Fundamentals,11th,,835,"Pearson Education, Inc.",United States,2015,BSCS,Circulation,TK 7868.D5 F53 2015
132,08/22/17,9789810695927,"Johnsonbaugh, Richard",Discrete Mathematics,7th,,626,Pearson Education South Asia Pte. Ltd.,Singapore,2010,BSCS,Circulation,QA 76.9 M75 J69 2010
133,08/22/17,9781435462472,"Karr, Rosemary et al.",Beginning Algebra,10th,,612,Cengage Learning,United States,2015,BSCS,Circulation,QA 152.3 K18 2015
134,08/22/17,9781435462502,"Karr, Rosemary et al.",Intermediate Algebra: A Guided Approach,10th,,806,Cengage Learning,United States,2015,BSCS,Circulation,QA 154.3 K18 2015
135,08/22/17,9781305071704,"Larson, Ron","Precalculus: Real Mathematics, Real People",7th,,748,Cengage Learning,United States,2016,BSCS,Circulation,QA 331.3 L37 2016
136,08/22/17,9781305071704,"Larson, Ron","Precalculus: Real Mathematics, Real People",7th,,748,Cengage Learning,United States,2016,BSCS,Circulation,QA 331.3 L37 2016
137,08/22/17,9780073532370,"Hoffman, Laurence et al.","Applied Calculus for Business, Economics, and the Social and Life Sciences",11th,,898,McGraw-Hill,United States,2013,BSCS,Circulation,QA 303.2 H64
138,08/22/17,9780321869838,"Garnett, Raymond et al.","Calculus for Business, Economics, Life Sciences, and Social Sciences",13th,,513,Prentice Hall,United States,2015,BSCS,Circulation,
139,08/22/17,9789814606189,"Loh, Henry",Study Smart Additional Mathematics - CALCULUS for Upper Secondary Levels,1st,,262,Singapore Asia Publishers Pte. Ltd.,Singapore,2016,BSCS,Circulation,Q 303 L38 2016
140,08/22/17,9789814606196,"Loh, Henry",Study Smart Additional Mathematics - GEOMETRY & TRIGONOMETRY for Upper Secondary Levels,1st,,262,Singapore Asia Publishers Pte. Ltd.,Singapore,2016,BSCS,Circulation,
141,08/22/17,9789814606172,"Loh, Henry",Study Smart Additional Mathematics - ALGEBRA for Upper Secondary Levels,1st,,298,Singapore Asia Publishers Pte. Ltd.,Singapore,2016,BSCS,Circulation,QA 154.2L83 2016
142,08/22/17,9780136097082,"Carman, Robert & Saunders, Hal",Mathematics for the Trades: A Guided Approach,9th,,767,Prentice Hall,United States,2011,BSCS,Circulation,QA 39.3 C37 2011
143,08/22/17,9781619251908,"Bristow, Barbara",Sears List of Subject Headings,21st,,946,Grey House Publishing,United States,2014,BLIS,Circulation,
144,08/22/17,9780873536875,"Silver, Edward & Kenney, Patricia Ann",More Lessons from Research: Useful and Usable Research Related to Core Mathematical Practices,,1,310,"National Council of Teachers of Mathematics, Inc.",United States,2015,BSCS,Circulation,Q 13 S55 2016
145,08/22/17,9780873536875,"Silver, Edward & Kenney, Patricia Ann",More Lessons from Research: Useful and Usable Research Related to Core Mathematical Practices,,1,310,"National Council of Teachers of Mathematics, Inc.",United States,2015,BSCS,Circulation,Q 13 S55 2016 V.1
146,08/22/17,9780873536875,"Silver, Edward & Kenney, Patricia Ann",More Lessons from Research: Useful and Usable Research Related to Core Mathematical Practices,,1,310,"National Council of Teachers of Mathematics, Inc.",United States,2015,BSCS,Circulation,Q 13 S55 2016
